rank,name,n_tips,monophyletic
genus,g__0-14-0-10-38-17,1,true
genus,g__0-14-0-20-40-13,1,true
genus,g__01-FULL-36-10b,1,true
genus,g__01-FULL-36-15b,2,true
genus,g__01-FULL-38-12b,2,true
genus,g__01-FULL-39-12b,1,true
genus,g__01-FULL-43-11b,1,true
genus,g__01-FULL-43-15b,1,true
genus,g__01-FULL-44-24b,1,true
genus,g__01-FULL-45-15b,1,true
genus,g__01-FULL-45-25b,1,true
genus,g__01-FULL-45-34b,1,true
genus,g__01-FULL-48-32b,1,true
genus,g__01-FULL-49-22b,1,true
genus,g__01-FULL-54-110,1,true
genus,g__02-FULL-45-10c,1,true
genus,g__02-FULL-45-11b,1,true
genus,g__02-FULL-45-17b,2,true
genus,g__1-14-0-10-34-10,1,true
genus,g__1-14-0-10-36-11,1,true
genus,g__1-14-0-10-36-16,1,true
genus,g__1-14-0-10-36-19,1,true
genus,g__1-14-0-10-36-32,1,true
genus,g__1-14-0-10-37-14,1,true
genus,g__1-14-0-10-40-38,1,true
genus,g__1-14-0-10-41-10,1,true
genus,g__1-14-0-10-41-12,1,true
genus,g__1-14-0-10-41-28,1,true
genus,g__1-14-0-10-42-12,1,true
genus,g__1-14-0-10-42-19,1,true
genus,g__1-14-0-10-42-22,1,true
genus,g__1-14-0-10-43-10,1,true
genus,g__1-14-0-10-43-11,1,true
genus,g__1-14-0-10-43-13,1,true
genus,g__1-14-0-10-43-42,1,true
genus,g__1-14-0-10-44-23,1,true
genus,g__1-14-0-10-45-20,5,false
genus,g__1-14-0-10-46-23,1,true
genus,g__1-14-0-10-46-36,1,true
genus,g__1-14-0-10-47-10,1,true
genus,g__1-14-0-10-47-16,1,true
genus,g__1-14-0-10-48-11,1,true
genus,g__1-14-0-10-49-15,1,true
genus,g__1-14-0-10-49-17,1,true
genus,g__1-14-0-10-51-16,1,true
genus,g__1-14-0-10-55-24,1,true
genus,g__1-14-0-10-56-10,1,true
genus,g__1-14-0-20-35-14,1,true
genus,g__1-14-0-20-39-34,1,true
genus,g__1-14-2-50-48-13,1,true
genus,g__12-FULL-43-12b,1,true
genus,g__12-FULL-44-12b,1,true
genus,g__12-FULL-45-19b,1,true
genus,g__2011-GWA2-47-8b,1,true
genus,g__2011-GWC2-44-17,3,false
genus,g__20-14-all-54-14,1,true
genus,g__2-01-FULL-33-17,1,true
genus,g__2-01-FULL-36-15,1,true
genus,g__2-01-FULL-37-20,1,true
genus,g__2-01-FULL-38-13,1,true
genus,g__2-01-FULL-38-21,2,true
genus,g__2-01-FULL-38-26,1,true
genus,g__2-01-FULL-39-10,1,true
genus,g__2-01-FULL-39-10-A,1,true
genus,g__2-01-FULL-39-12,1,true
genus,g__2-01-FULL-39-12-A,1,true
genus,g__2-01-FULL-39-13,1,true
genus,g__2-01-FULL-39-19,1,true
genus,g__2-01-FULL-39-21,2,true
genus,g__2-01-FULL-39-24,1,true
genus,g__2-01-FULL-39-28,3,true
genus,g__2-01-FULL-39-33,2,true
genus,g__2-01-FULL-40-13,5,false
genus,g__2-01-FULL-40-14,1,true
genus,g__2-01-FULL-40-24,1,true
genus,g__2-01-FULL-40-39,1,true
genus,g__2-01-FULL-40-42,1,true
genus,g__2-01-FULL-41-11,1,true
genus,g__2-01-FULL-41-18,1,true
genus,g__2-01-FULL-41-18-A,1,true
genus,g__2-01-FULL-41-21,3,true
genus,g__2-01-FULL-41-22,1,true
genus,g__2-01-FULL-41-26,2,true
genus,g__2-01-FULL-42-13,1,true
genus,g__2-01-FULL-42-15,1,true
genus,g__2-01-FULL-42-20,1,true
genus,g__2-01-FULL-43-14,1,true
genus,g__2-01-FULL-43-22,2,false
genus,g__2-01-FULL-43-38,1,true
genus,g__2-01-FULL-44-10,1,true
genus,g__2-01-FULL-44-11,1,true
genus,g__2-01-FULL-44-17,1,true
genus,g__2-01-FULL-44-21,1,true
genus,g__2-01-FULL-44-22,2,true
genus,g__2-01-FULL-45-10-B,1,true
genus,g__2-01-FULL-45-11,1,true
genus,g__2-01-FULL-45-18,1,true
genus,g__2-01-FULL-45-33,2,true
genus,g__2-01-FULL-46-13,4,true
genus,g__2-01-FULL-46-14,2,true
genus,g__2-01-FULL-46-14-A,1,true
genus,g__2-01-FULL-47-10,1,true
genus,g__2-01-FULL-47-10-A,1,true
genus,g__2-01-FULL-48-10,1,true
genus,g__2-01-FULL-48-14,1,true
genus,g__2-01-FULL-48-16,1,true
genus,g__2-01-FULL-49-10,1,true
genus,g__2-01-FULL-49-14,1,true
genus,g__2-01-FULL-49-17,1,true
genus,g__2-01-FULL-49-22,1,true
genus,g__2-01-FULL-50-11,1,true
genus,g__2-01-FULL-50-23,1,true
genus,g__2-01-FULL-50-25,1,true
genus,g__2-01-FULL-50-28,1,true
genus,g__2-01-FULL-51-10,2,true
genus,g__2-01-FULL-51-21,1,true
genus,g__2-01-FULL-51-34,1,true
genus,g__2-01-FULL-52-15,1,true
genus,g__2-01-FULL-56-20,1,true
genus,g__2-01-FULL-58-14,1,true
genus,g__2-01-FULL-63-20,2,true
genus,g__2-02-FULL-34-10,1,true
genus,g__2-02-FULL-36-13,1,true
genus,g__2-02-FULL-37-13,1,true
genus,g__2-02-FULL-38-14,1,true
genus,g__2-02-FULL-38-15,1,true
genus,g__2-02-FULL-39-11,1,true
genus,g__2-02-FULL-39-13,2,true
genus,g__2-02-FULL-39-14,2,true
genus,g__2-02-FULL-40-10,1,true
genus,g__2-02-FULL-40-12,2,true
genus,g__2-02-FULL-40-13,1,true
genus,g__2-02-FULL-40-20,1,true
genus,g__2-02-FULL-42-16,1,true
genus,g__2-02-FULL-43-11,1,true
genus,g__2-02-FULL-43-11-A,1,true
genus,g__2-02-FULL-43-13,1,true
genus,g__2-02-FULL-43-16,1,true
